m_id,m_Treasures,m_Probability
6053,"[6053, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6060,"[6060, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6061,"[6061, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6062,"[6062, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6063,"[6063, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6070,"[6070, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6071,"[6071, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6072,"[6072, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7158,"[7158, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7159,"[7159, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7160,"[7160, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7161,"[7161, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10076,"[9086, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10077,"[9087, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10078,"[9088, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10079,"[9089, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10080,"[9090, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10081,"[9091, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10082,"[9092, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10083,"[9093, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10084,"[9094, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10085,"[9095, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10086,"[9096, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10087,"[9097, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10088,"[9098, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10089,"[9099, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10090,"[9100, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10091,"[9101, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10092,"[9102, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10093,"[9103, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10094,"[9104, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10095,"[9105, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10096,"[9106, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10097,"[9107, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10098,"[9108, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10099,"[9109, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7001,"[7001, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7002,"[7002, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7003,"[7003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7004,"[7004, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7005,"[7005, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7006,"[7006, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7010,"[7010, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7011,"[7011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7012,"[7012, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7013,"[7013, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7014,"[7014, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7020,"[7020, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7021,"[7021, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7022,"[7022, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7023,"[7023, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7030,"[7030, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7031,"[7031, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7032,"[7032, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7033,"[7033, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7040,"[7040, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7041,"[7041, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7042,"[7042, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7043,"[7043, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7050,"[7050, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7051,"[7051, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7052,"[7052, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7053,"[7053, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7060,"[7060, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7061,"[7061, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7062,"[7062, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7063,"[7063, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7167,"[7198, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7168,"[7199, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7070,"[7070, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7071,"[7071, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7072,"[7072, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7073,"[7073, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7173,"[8016, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7080,"[7080, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7081,"[7081, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7082,"[7082, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7083,"[7083, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7084,"[7084, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7090,"[7090, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7091,"[7091, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7092,"[7092, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7093,"[7093, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7094,"[7094, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7100,"[7100, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7101,"[7101, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7102,"[7102, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7103,"[7103, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7110,"[7110, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7111,"[7111, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7112,"[7112, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7120,"[7120, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7121,"[7121, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7122,"[7122, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7123,"[7123, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7130,"[7130, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7131,"[7131, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7132,"[7132, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7133,"[7133, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7166,"[7200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7169,"[7201, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7170,"[7202, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7162,"[7162, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7163,"[7163, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7164,"[7164, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7165,"[7165, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10269,"[9275, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10270,"[9276, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10271,"[9277, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10272,"[9278, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10273,"[9279, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10284,"[9290, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10285,"[9291, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10286,"[9292, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10274,"[9280, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10275,"[9281, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10276,"[9282, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10277,"[9283, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10278,"[9284, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10287,"[9293, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10288,"[9294, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10289,"[9295, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10279,"[9285, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10280,"[9286, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10281,"[9287, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10282,"[9288, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10283,"[9289, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10290,"[9296, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10291,"[9297, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10292,"[9298, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7044,"[7104, 7105, 7107, 7108, 0, 0, 0, 0, 0, 0]","[1000, 5, 65, 10, 0, 10, 0, 65, 10, 0]"
7045,"[7105, 7106, 7107, 7108, 0, 0, 0, 0, 0, 0]","[1000, 5, 65, 10, 0, 10, 0, 65, 10, 0]"
9000,"[8001, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9001,"[8009, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9002,"[8013, 8001, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
9006,"[8003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9007,"[8009, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9008,"[8013, 8003, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
9003,"[8002, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9004,"[8010, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9005,"[8013, 8002, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
9009,"[8004, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9010,"[8010, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9011,"[8013, 8004, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
9012,"[8005, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9013,"[8011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9014,"[8013, 8005, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
9015,"[8006, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9016,"[8011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9017,"[8013, 8006, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
9018,"[8007, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9019,"[8012, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9020,"[8013, 8007, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
9021,"[8008, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9022,"[8012, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9023,"[8013, 8008, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
10000,"[9001, 9003, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10001,"[9004, 9003, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10002,"[9001, 9004, 9017, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 500, 0, 0, 0, 0, 0, 0, 0]"
10006,"[9009, 9011, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10007,"[9012, 9011, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10008,"[9009, 9012, 9017, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 500, 0, 0, 0, 0, 0, 0, 0]"
10003,"[9005, 9007, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10004,"[9008, 9007, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10005,"[9005, 9008, 9017, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 500, 0, 0, 0, 0, 0, 0, 0]"
10009,"[9013, 9015, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10010,"[9016, 9015, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10011,"[9013, 9016, 9017, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 500, 0, 0, 0, 0, 0, 0, 0]"
10012,"[9018, 9020, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10013,"[9021, 9020, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10014,"[9018, 9021, 9017, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 500, 0, 0, 0, 0, 0, 0, 0]"
10015,"[9022, 9024, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10016,"[9025, 9024, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10017,"[9022, 9025, 9017, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 500, 0, 0, 0, 0, 0, 0, 0]"
10018,"[9026, 9028, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10019,"[9029, 9028, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10020,"[9026, 9029, 9017, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 500, 0, 0, 0, 0, 0, 0, 0]"
10021,"[9030, 9032, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10022,"[9033, 9032, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 600, 0, 0, 0, 0, 0, 0, 0, 0]"
10023,"[9030, 9033, 9017, 0, 0, 0, 0, 0, 0, 0]","[1000, 1000, 500, 0, 0, 0, 0, 0, 0, 0]"
10258,"[9271, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10260,"[9272, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10262,"[9273, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10263,"[9268, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10264,"[9274, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10265,"[9269, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10266,"[9274, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10267,"[9270, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10268,"[9274, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
