m_id,m_RewardType,m_RewardItemId,m_DropRates,m_DropCntF,m_DropCntR,m_RewardOption0,m_EventDropQuestIDs
5146,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5004,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5005,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5006,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5007,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5184,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5185,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5137,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5008,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5009,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5147,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5148,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5149,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5150,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5010,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5151,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5152,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5138,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5153,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5154,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5011,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5182,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5183,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5012,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5155,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5156,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5013,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5014,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5015,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5016,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5017,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5018,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5019,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5020,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5021,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5190,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5022,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5186,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5187,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5023,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5157,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5158,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5024,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5159,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5160,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5169,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5170,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5171,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5172,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5173,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5174,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5175,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5176,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5177,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5025,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5026,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5161,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5162,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5163,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5164,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5027,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5028,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5029,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5030,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5165,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5166,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5031,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5167,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5168,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5032,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5033,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5034,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5035,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5191,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5192,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5036,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5037,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5038,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5039,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5040,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5041,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5189,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2, 2, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5042,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5043,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5044,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5045,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5046,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5047,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5048,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5140,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5141,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5142,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5049,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5050,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5051,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5052,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5053,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5054,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5055,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5136,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5188,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5056,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5057,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5058,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5059,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5060,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5061,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5193,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5194,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10000,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10001,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10002,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10003,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10004,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10005,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10006,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10007,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10009,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10010,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10011,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10012,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10013,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10014,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10015,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
20047,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
